out_msg=None: in_msg=[src=0, dest=10, size=2, addr=4736, type=GET_INSTR]: delay=0
out_msg=[src=3, dest=0, size=5, addr=364736, type=DATA]: in_msg=[src=0, dest=49, size=2, addr=941120, type=GETS]: delay=34
out_msg=[src=0, dest=49, size=2, addr=941120, type=GETS]: in_msg=[src=49, dest=0, size=5, addr=941120, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=49, dest=0, size=5, addr=941120, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=49, size=2, addr=941120, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=49, dest=0, size=5, addr=941120, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=2, size=2, addr=364672, type=GET_INSTR]: delay=6
out_msg=[src=0, dest=2, size=2, addr=364672, type=GET_INSTR]: in_msg=[src=2, dest=0, size=5, addr=364672, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=364672, type=DATA]: in_msg=[src=0, dest=58, size=2, addr=1846912, type=GETS]: delay=52
out_msg=[src=0, dest=58, size=2, addr=1846912, type=GETS]: in_msg=[src=58, dest=59, size=2, addr=1846912, type=GETS]: delay=4
out_msg=[src=58, dest=59, size=2, addr=1846912, type=GETS]: in_msg=[src=59, dest=58, size=5, addr=1846912, type=MEMORY_DATA]: delay=65
out_msg=[src=59, dest=58, size=5, addr=1846912, type=MEMORY_DATA]: in_msg=[src=58, dest=0, size=5, addr=1846912, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=58, dest=0, size=5, addr=1846912, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=58, size=2, addr=1846912, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=58, dest=0, size=5, addr=1846912, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=1, size=2, addr=364608, type=GET_INSTR]: delay=24
out_msg=[src=0, dest=1, size=2, addr=364608, type=GET_INSTR]: in_msg=[src=1, dest=0, size=5, addr=364608, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=5, addr=364608, type=DATA]: in_msg=[src=0, dest=59, size=2, addr=1846976, type=GETS]: delay=96
out_msg=[src=0, dest=59, size=2, addr=1846976, type=GETS]: in_msg=[src=59, dest=58, size=2, addr=1846976, type=GETS]: delay=4
out_msg=[src=59, dest=58, size=2, addr=1846976, type=GETS]: in_msg=[src=58, dest=59, size=5, addr=1846976, type=MEMORY_DATA]: delay=65
out_msg=[src=58, dest=59, size=5, addr=1846976, type=MEMORY_DATA]: in_msg=[src=59, dest=0, size=5, addr=1846976, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=59, dest=0, size=5, addr=1846976, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=59, size=2, addr=1846976, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=59, dest=0, size=5, addr=1846976, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=60, size=2, addr=1847040, type=GETS]: delay=120
out_msg=[src=0, dest=60, size=2, addr=1847040, type=GETS]: in_msg=[src=60, dest=61, size=2, addr=1847040, type=GETS]: delay=4
out_msg=[src=60, dest=61, size=2, addr=1847040, type=GETS]: in_msg=[src=61, dest=60, size=5, addr=1847040, type=MEMORY_DATA]: delay=65
out_msg=[src=61, dest=60, size=5, addr=1847040, type=MEMORY_DATA]: in_msg=[src=60, dest=0, size=5, addr=1847040, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=60, dest=0, size=5, addr=1847040, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=60, size=2, addr=1847040, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=60, dest=0, size=5, addr=1847040, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=51, size=2, addr=941248, type=GETS]: delay=90
out_msg=[src=0, dest=51, size=2, addr=941248, type=GETS]: in_msg=[src=51, dest=0, size=5, addr=941248, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=51, dest=0, size=5, addr=941248, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=51, size=2, addr=941248, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=51, dest=0, size=5, addr=941248, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=4, size=2, addr=364800, type=GET_INSTR]: delay=6
out_msg=[src=0, dest=4, size=2, addr=364800, type=GET_INSTR]: in_msg=[src=4, dest=0, size=5, addr=364800, type=DATA]: delay=72
out_msg=[src=4, dest=0, size=5, addr=364800, type=DATA]: in_msg=[src=0, dest=61, size=2, addr=1847104, type=GETS]: delay=58
out_msg=[src=0, dest=61, size=2, addr=1847104, type=GETS]: in_msg=[src=61, dest=60, size=2, addr=1847104, type=GETS]: delay=4
out_msg=[src=61, dest=60, size=2, addr=1847104, type=GETS]: in_msg=[src=60, dest=61, size=5, addr=1847104, type=MEMORY_DATA]: delay=65
out_msg=[src=60, dest=61, size=5, addr=1847104, type=MEMORY_DATA]: in_msg=[src=61, dest=0, size=5, addr=1847104, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=61, dest=0, size=5, addr=1847104, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=61, size=2, addr=1847104, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=61, dest=0, size=5, addr=1847104, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=11, size=2, addr=131776, type=GET_INSTR]: delay=254
out_msg=[src=0, dest=11, size=2, addr=131776, type=GET_INSTR]: in_msg=[src=11, dest=0, size=5, addr=131776, type=DATA]: delay=72
out_msg=[src=11, dest=0, size=5, addr=131776, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=368064, type=GET_INSTR]: delay=8
out_msg=[src=0, dest=55, size=2, addr=368064, type=GET_INSTR]: in_msg=[src=55, dest=0, size=5, addr=368064, type=DATA]: delay=72
out_msg=[src=55, dest=0, size=5, addr=368064, type=DATA]: in_msg=[src=0, dest=45, size=2, addr=1846080, type=GETX]: delay=22
out_msg=[src=0, dest=45, size=2, addr=1846080, type=GETX]: in_msg=[src=45, dest=44, size=2, addr=1846080, type=GETS]: delay=4
out_msg=[src=45, dest=44, size=2, addr=1846080, type=GETS]: in_msg=[src=44, dest=45, size=5, addr=1846080, type=MEMORY_DATA]: delay=65
out_msg=[src=44, dest=45, size=5, addr=1846080, type=MEMORY_DATA]: in_msg=[src=45, dest=0, size=5, addr=1846080, type=DATA]: delay=3
out_msg=[src=45, dest=0, size=5, addr=1846080, type=DATA]: in_msg=[src=0, dest=45, size=2, addr=1846080, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=45, dest=0, size=5, addr=1846080, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=523712, type=GET_INSTR]: delay=6
out_msg=[src=0, dest=55, size=2, addr=523712, type=GET_INSTR]: in_msg=[src=55, dest=0, size=5, addr=523712, type=DATA]: delay=72
out_msg=[src=55, dest=0, size=5, addr=523712, type=DATA]: in_msg=[src=0, dest=56, size=2, addr=368128, type=GET_INSTR]: delay=28
out_msg=[src=0, dest=56, size=2, addr=368128, type=GET_INSTR]: in_msg=[src=56, dest=0, size=5, addr=368128, type=DATA]: delay=72
out_msg=[src=56, dest=0, size=5, addr=368128, type=DATA]: in_msg=[src=0, dest=48, size=2, addr=1846272, type=GETS]: delay=12
out_msg=[src=0, dest=48, size=2, addr=1846272, type=GETS]: in_msg=[src=48, dest=49, size=2, addr=1846272, type=GETS]: delay=4
out_msg=[src=48, dest=49, size=2, addr=1846272, type=GETS]: in_msg=[src=49, dest=48, size=5, addr=1846272, type=MEMORY_DATA]: delay=65
out_msg=[src=49, dest=48, size=5, addr=1846272, type=MEMORY_DATA]: in_msg=[src=48, dest=0, size=5, addr=1846272, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=48, dest=0, size=5, addr=1846272, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=48, size=2, addr=1846272, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=48, dest=0, size=5, addr=1846272, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=57, size=2, addr=368192, type=GET_INSTR]: delay=32
out_msg=[src=0, dest=57, size=2, addr=368192, type=GET_INSTR]: in_msg=[src=57, dest=0, size=5, addr=368192, type=DATA]: delay=72
out_msg=[src=57, dest=0, size=5, addr=368192, type=DATA]: in_msg=[src=0, dest=12, size=2, addr=131840, type=GET_INSTR]: delay=150
out_msg=[src=0, dest=12, size=2, addr=131840, type=GET_INSTR]: in_msg=[src=12, dest=0, size=5, addr=131840, type=DATA]: delay=72
out_msg=[src=12, dest=0, size=5, addr=131840, type=DATA]: in_msg=[src=0, dest=7, size=2, addr=448, type=GETS]: delay=36
out_msg=[src=0, dest=7, size=2, addr=448, type=GETS]: in_msg=[src=7, dest=0, size=5, addr=448, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=7, dest=0, size=5, addr=448, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=7, size=2, addr=448, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=7, dest=0, size=5, addr=448, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=7, size=2, addr=131520, type=GET_INSTR]: delay=6
out_msg=[src=0, dest=7, size=2, addr=131520, type=GET_INSTR]: in_msg=[src=7, dest=0, size=5, addr=131520, type=DATA]: delay=72
out_msg=[src=7, dest=0, size=5, addr=131520, type=DATA]: in_msg=[src=0, dest=25, size=2, addr=222784, type=GET_INSTR]: delay=24
out_msg=[src=0, dest=25, size=2, addr=222784, type=GET_INSTR]: in_msg=[src=25, dest=0, size=5, addr=222784, type=DATA]: delay=72
out_msg=[src=25, dest=0, size=5, addr=222784, type=DATA]: in_msg=[src=0, dest=50, size=2, addr=1838208, type=GETS]: delay=6
out_msg=[src=0, dest=50, size=2, addr=1838208, type=GETS]: in_msg=[src=50, dest=51, size=2, addr=1838208, type=GETS]: delay=4
out_msg=[src=50, dest=51, size=2, addr=1838208, type=GETS]: in_msg=[src=51, dest=50, size=5, addr=1838208, type=MEMORY_DATA]: delay=65
out_msg=[src=51, dest=50, size=5, addr=1838208, type=MEMORY_DATA]: in_msg=[src=50, dest=0, size=5, addr=1838208, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=50, dest=0, size=5, addr=1838208, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=50, size=2, addr=1838208, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=50, dest=0, size=5, addr=1838208, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=23, size=2, addr=132544, type=GET_INSTR]: delay=14
out_msg=[src=0, dest=23, size=2, addr=132544, type=GET_INSTR]: in_msg=[src=23, dest=0, size=5, addr=132544, type=DATA]: delay=72
out_msg=[src=23, dest=0, size=5, addr=132544, type=DATA]: in_msg=[src=0, dest=24, size=2, addr=132608, type=GET_INSTR]: delay=40
out_msg=[src=0, dest=24, size=2, addr=132608, type=GET_INSTR]: in_msg=[src=24, dest=0, size=5, addr=132608, type=DATA]: delay=72
out_msg=[src=24, dest=0, size=5, addr=132608, type=DATA]: in_msg=[src=0, dest=51, size=2, addr=1838272, type=GETX]: delay=30
out_msg=[src=0, dest=51, size=2, addr=1838272, type=GETX]: in_msg=[src=51, dest=50, size=2, addr=1838272, type=GETS]: delay=4
out_msg=[src=51, dest=50, size=2, addr=1838272, type=GETS]: in_msg=[src=50, dest=51, size=5, addr=1838272, type=MEMORY_DATA]: delay=65
out_msg=[src=50, dest=51, size=5, addr=1838272, type=MEMORY_DATA]: in_msg=[src=51, dest=0, size=5, addr=1838272, type=DATA]: delay=3
out_msg=[src=51, dest=0, size=5, addr=1838272, type=DATA]: in_msg=[src=0, dest=51, size=2, addr=1838272, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=51, dest=0, size=5, addr=1838272, type=DATA]: in_msg=[src=0, dest=25, size=2, addr=132672, type=GET_INSTR]: delay=22
out_msg=[src=0, dest=25, size=2, addr=132672, type=GET_INSTR]: in_msg=[src=25, dest=0, size=5, addr=132672, type=DATA]: delay=72
out_msg=[src=25, dest=0, size=5, addr=132672, type=DATA]: in_msg=[src=0, dest=26, size=2, addr=222848, type=GET_INSTR]: delay=46
out_msg=[src=0, dest=26, size=2, addr=222848, type=GET_INSTR]: in_msg=[src=26, dest=0, size=5, addr=222848, type=DATA]: delay=72
out_msg=[src=26, dest=0, size=5, addr=222848, type=DATA]: in_msg=[src=0, dest=1, size=2, addr=1122368, type=GETX]: delay=14
out_msg=[src=0, dest=1, size=2, addr=1122368, type=GETX]: in_msg=[src=1, dest=0, size=2, addr=1122368, type=GETS]: delay=4
out_msg=[src=1, dest=0, size=2, addr=1122368, type=GETS]: in_msg=[src=0, dest=1, size=5, addr=1122368, type=MEMORY_DATA]: delay=65
out_msg=[src=0, dest=1, size=5, addr=1122368, type=MEMORY_DATA]: in_msg=[src=1, dest=0, size=5, addr=1122368, type=DATA]: delay=3
out_msg=[src=1, dest=0, size=5, addr=1122368, type=DATA]: in_msg=[src=0, dest=1, size=2, addr=1122368, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=1, dest=0, size=5, addr=1122368, type=DATA]: in_msg=[src=0, dest=8, size=2, addr=512, type=GETS]: delay=26
