out_msg=[src=51, dest=0, size=5, addr=527552, type=DATA, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=527552, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=51, dest=0, size=5, addr=527552, type=DATA, fixed=None]: in_msg=[src=0, dest=5, size=2, addr=426304, type=GET_INSTR, fixed=None]: delay=72
out_msg=[src=0, dest=5, size=2, addr=426304, type=GET_INSTR, fixed=None]: in_msg=[src=5, dest=7, size=2, addr=426304, type=GETS, fixed=des]: delay=4
out_msg=[src=5, dest=7, size=2, addr=426304, type=GETS, fixed=des]: in_msg=[src=7, dest=5, size=5, addr=426304, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=5, size=5, addr=426304, type=MEMORY_DATA, fixed=src]: in_msg=[src=5, dest=0, size=5, addr=426304, type=DATA, fixed=None]: delay=3
out_msg=[src=5, dest=0, size=5, addr=426304, type=DATA, fixed=None]: in_msg=[src=0, dest=6, size=2, addr=426368, type=GET_INSTR, fixed=None]: delay=76
out_msg=[src=0, dest=6, size=2, addr=426368, type=GET_INSTR, fixed=None]: in_msg=[src=6, dest=7, size=2, addr=426368, type=GETS, fixed=des]: delay=4
out_msg=[src=6, dest=7, size=2, addr=426368, type=GETS, fixed=des]: in_msg=[src=7, dest=6, size=5, addr=426368, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=6, size=5, addr=426368, type=MEMORY_DATA, fixed=src]: in_msg=[src=6, dest=0, size=5, addr=426368, type=DATA, fixed=None]: delay=3
out_msg=[src=6, dest=0, size=5, addr=426368, type=DATA, fixed=None]: in_msg=[src=0, dest=7, size=2, addr=426432, type=GET_INSTR, fixed=None]: delay=76
out_msg=[src=0, dest=7, size=2, addr=426432, type=GET_INSTR, fixed=None]: in_msg=[src=7, dest=0, size=5, addr=426432, type=DATA, fixed=None]: delay=72
out_msg=[src=7, dest=0, size=5, addr=426432, type=DATA, fixed=None]: in_msg=[src=0, dest=48, size=2, addr=527360, type=GETS, fixed=None]: delay=48
out_msg=[src=0, dest=48, size=2, addr=527360, type=GETS, fixed=None]: in_msg=[src=48, dest=56, size=2, addr=527360, type=GETS, fixed=des]: delay=4
out_msg=[src=48, dest=56, size=2, addr=527360, type=GETS, fixed=des]: in_msg=[src=56, dest=48, size=5, addr=527360, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=48, size=5, addr=527360, type=MEMORY_DATA, fixed=src]: in_msg=[src=48, dest=0, size=5, addr=527360, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=48, dest=0, size=5, addr=527360, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=48, size=2, addr=527360, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=48, dest=0, size=5, addr=527360, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=8, size=2, addr=426496, type=GET_INSTR, fixed=None]: delay=12
out_msg=[src=0, dest=8, size=2, addr=426496, type=GET_INSTR, fixed=None]: in_msg=[src=8, dest=0, size=2, addr=426496, type=GETS, fixed=des]: delay=4
out_msg=[src=8, dest=0, size=2, addr=426496, type=GETS, fixed=des]: in_msg=[src=0, dest=8, size=5, addr=426496, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=8, size=5, addr=426496, type=MEMORY_DATA, fixed=src]: in_msg=[src=8, dest=0, size=5, addr=426496, type=DATA, fixed=None]: delay=3
out_msg=[src=8, dest=0, size=5, addr=426496, type=DATA, fixed=None]: in_msg=[src=0, dest=9, size=2, addr=426560, type=GET_INSTR, fixed=None]: delay=36
out_msg=[src=0, dest=9, size=2, addr=426560, type=GET_INSTR, fixed=None]: in_msg=[src=9, dest=0, size=2, addr=426560, type=GETS, fixed=des]: delay=4
out_msg=[src=9, dest=0, size=2, addr=426560, type=GETS, fixed=des]: in_msg=[src=0, dest=9, size=5, addr=426560, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=9, size=5, addr=426560, type=MEMORY_DATA, fixed=src]: in_msg=[src=9, dest=0, size=5, addr=426560, type=DATA, fixed=None]: delay=3
out_msg=[src=9, dest=0, size=5, addr=426560, type=DATA, fixed=None]: in_msg=[src=0, dest=10, size=2, addr=426624, type=GET_INSTR, fixed=None]: delay=70
out_msg=[src=0, dest=10, size=2, addr=426624, type=GET_INSTR, fixed=None]: in_msg=[src=10, dest=0, size=2, addr=426624, type=GETS, fixed=des]: delay=4
out_msg=[src=10, dest=0, size=2, addr=426624, type=GETS, fixed=des]: in_msg=[src=0, dest=10, size=5, addr=426624, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=10, size=5, addr=426624, type=MEMORY_DATA, fixed=src]: in_msg=[src=10, dest=0, size=5, addr=426624, type=DATA, fixed=None]: delay=3
out_msg=[src=10, dest=0, size=5, addr=426624, type=DATA, fixed=None]: in_msg=[src=0, dest=11, size=2, addr=426688, type=GET_INSTR, fixed=None]: delay=64
out_msg=[src=0, dest=11, size=2, addr=426688, type=GET_INSTR, fixed=None]: in_msg=[src=11, dest=0, size=2, addr=426688, type=GETS, fixed=des]: delay=4
out_msg=[src=11, dest=0, size=2, addr=426688, type=GETS, fixed=des]: in_msg=[src=0, dest=11, size=5, addr=426688, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=11, size=5, addr=426688, type=MEMORY_DATA, fixed=src]: in_msg=[src=11, dest=0, size=5, addr=426688, type=DATA, fixed=None]: delay=3
out_msg=[src=11, dest=0, size=5, addr=426688, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=535872, type=GETX, fixed=None]: delay=54
out_msg=[src=0, dest=53, size=2, addr=535872, type=GETX, fixed=None]: in_msg=[src=53, dest=63, size=2, addr=535872, type=GETS, fixed=des]: delay=4
out_msg=[src=53, dest=63, size=2, addr=535872, type=GETS, fixed=des]: in_msg=[src=63, dest=53, size=5, addr=535872, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=53, size=5, addr=535872, type=MEMORY_DATA, fixed=src]: in_msg=[src=53, dest=0, size=5, addr=535872, type=DATA, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=535872, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=535872, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=535872, type=DATA, fixed=None]: in_msg=[src=0, dest=12, size=2, addr=426752, type=GET_INSTR, fixed=None]: delay=8
out_msg=[src=0, dest=12, size=2, addr=426752, type=GET_INSTR, fixed=None]: in_msg=[src=12, dest=7, size=2, addr=426752, type=GETS, fixed=des]: delay=4
out_msg=[src=12, dest=7, size=2, addr=426752, type=GETS, fixed=des]: in_msg=[src=7, dest=12, size=5, addr=426752, type=MEMORY_DATA, fixed=src]: delay=65
