out_msg=[src=51, dest=0, size=5, addr=269504, type=DATA, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=269504, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=51, dest=0, size=5, addr=269504, type=DATA, fixed=None]: in_msg=[src=0, dest=5, size=2, addr=168256, type=GET_INSTR, fixed=None]: delay=72
out_msg=[src=0, dest=5, size=2, addr=168256, type=GET_INSTR, fixed=None]: in_msg=[src=5, dest=7, size=2, addr=168256, type=GETS, fixed=des]: delay=4
out_msg=[src=5, dest=7, size=2, addr=168256, type=GETS, fixed=des]: in_msg=[src=7, dest=5, size=5, addr=168256, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=5, size=5, addr=168256, type=MEMORY_DATA, fixed=src]: in_msg=[src=5, dest=0, size=5, addr=168256, type=DATA, fixed=None]: delay=3
out_msg=[src=5, dest=0, size=5, addr=168256, type=DATA, fixed=None]: in_msg=[src=0, dest=6, size=2, addr=168320, type=GET_INSTR, fixed=None]: delay=76
out_msg=[src=0, dest=6, size=2, addr=168320, type=GET_INSTR, fixed=None]: in_msg=[src=6, dest=7, size=2, addr=168320, type=GETS, fixed=des]: delay=4
out_msg=[src=6, dest=7, size=2, addr=168320, type=GETS, fixed=des]: in_msg=[src=7, dest=6, size=5, addr=168320, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=6, size=5, addr=168320, type=MEMORY_DATA, fixed=src]: in_msg=[src=6, dest=0, size=5, addr=168320, type=DATA, fixed=None]: delay=3
out_msg=[src=6, dest=0, size=5, addr=168320, type=DATA, fixed=None]: in_msg=[src=0, dest=7, size=2, addr=168384, type=GET_INSTR, fixed=None]: delay=76
out_msg=[src=0, dest=7, size=2, addr=168384, type=GET_INSTR, fixed=None]: in_msg=[src=7, dest=0, size=5, addr=168384, type=DATA, fixed=None]: delay=72
out_msg=[src=7, dest=0, size=5, addr=168384, type=DATA, fixed=None]: in_msg=[src=0, dest=48, size=2, addr=269312, type=GETS, fixed=None]: delay=48
out_msg=[src=0, dest=48, size=2, addr=269312, type=GETS, fixed=None]: in_msg=[src=48, dest=56, size=2, addr=269312, type=GETS, fixed=des]: delay=4
out_msg=[src=48, dest=56, size=2, addr=269312, type=GETS, fixed=des]: in_msg=[src=56, dest=48, size=5, addr=269312, type=MEMORY_DATA, fixed=src]: delay=65
